# x_m,y_m,w_tr_right_m,w_tr_left_m
12.5867,1.7175,2.0000,2.0000
12.6180,1.6756,2.0000,2.0000
12.6483,1.6328,2.0000,2.0000
12.6773,1.5893,2.0000,2.0000
12.7053,1.5450,2.0000,2.0000
12.7321,1.5000,2.0000,2.0000
12.7576,1.4543,2.0000,2.0000
12.7820,1.4080,2.0000,2.0000
12.8052,1.3610,2.0000,2.0000
12.8271,1.3135,2.0000,2.0000
12.8478,1.2654,2.0000,2.0000
12.8672,1.2167,2.0000,2.0000
12.8853,1.1676,2.0000,2.0000
12.9021,1.1180,2.0000,2.0000
12.9176,1.0680,2.0000,2.0000
12.9319,1.0176,2.0000,2.0000
12.9447,0.9669,2.0000,2.0000
12.9563,0.9158,2.0000,2.0000
12.9665,0.8645,2.0000,2.0000
12.9754,0.8129,2.0000,2.0000
12.9829,0.7611,2.0000,2.0000
12.9890,0.7091,2.0000,2.0000
12.9938,0.6569,2.0000,2.0000
12.9973,0.6047,2.0000,2.0000
12.9993,0.5524,2.0000,2.0000
13.0000,0.5000,2.0000,2.0000
13.0000,0.4917,2.0000,2.0000
13.0000,0.4833,2.0000,2.0000
13.0000,0.4750,2.0000,2.0000
13.0000,0.4667,2.0000,2.0000
13.0000,0.4583,2.0000,2.0000
13.0000,0.4500,2.0000,2.0000
13.0000,0.4417,2.0000,2.0000
13.0000,0.4333,2.0000,2.0000
13.0000,0.4250,2.0000,2.0000
13.0000,0.4167,2.0000,2.0000
13.0000,0.4083,2.0000,2.0000
13.0000,0.4000,2.0000,2.0000
13.0000,0.3917,2.0000,2.0000
13.0000,0.3833,2.0000,2.0000
13.0000,0.3750,2.0000,2.0000
13.0000,0.3667,2.0000,2.0000
13.0000,0.3583,2.0000,2.0000
13.0000,0.3500,2.0000,2.0000
13.0000,0.3417,2.0000,2.0000
13.0000,0.3333,2.0000,2.0000
13.0000,0.3250,2.0000,2.0000
13.0000,0.3167,2.0000,2.0000
13.0000,0.3083,2.0000,2.0000
13.0000,0.3000,2.0000,2.0000
13.0000,0.2917,2.0000,2.0000
13.0000,0.2833,2.0000,2.0000
13.0000,0.2750,2.0000,2.0000
13.0000,0.2667,2.0000,2.0000
13.0000,0.2583,2.0000,2.0000
13.0000,0.2500,2.0000,2.0000
13.0000,0.2417,2.0000,2.0000
13.0000,0.2333,2.0000,2.0000
13.0000,0.2250,2.0000,2.0000
13.0000,0.2167,2.0000,2.0000
13.0000,0.2083,2.0000,2.0000
13.0000,0.2000,2.0000,2.0000
13.0000,0.1917,2.0000,2.0000
13.0000,0.1833,2.0000,2.0000
13.0000,0.1750,2.0000,2.0000
13.0000,0.1667,2.0000,2.0000
13.0000,0.1583,2.0000,2.0000
13.0000,0.1500,2.0000,2.0000
13.0000,0.1417,2.0000,2.0000
13.0000,0.1333,2.0000,2.0000
13.0000,0.1250,2.0000,2.0000
13.0000,0.1167,2.0000,2.0000
13.0000,0.1083,2.0000,2.0000
13.0000,0.1000,2.0000,2.0000
13.0000,0.0917,2.0000,2.0000
13.0000,0.0833,2.0000,2.0000
13.0000,0.0750,2.0000,2.0000
13.0000,0.0667,2.0000,2.0000
13.0000,0.0583,2.0000,2.0000
13.0000,0.0500,2.0000,2.0000
13.0000,0.0417,2.0000,2.0000
13.0000,0.0333,2.0000,2.0000
13.0000,0.0250,2.0000,2.0000
13.0000,0.0167,2.0000,2.0000
13.0000,0.0083,2.0000,2.0000
13.0000,0.0000,2.0000,2.0000
13.0000,-0.0083,2.0000,2.0000
13.0000,-0.0167,2.0000,2.0000
13.0000,-0.0250,2.0000,2.0000
13.0000,-0.0333,2.0000,2.0000
13.0000,-0.0417,2.0000,2.0000
13.0000,-0.0500,2.0000,2.0000
13.0000,-0.0583,2.0000,2.0000
13.0000,-0.0667,2.0000,2.0000
13.0000,-0.0750,2.0000,2.0000
13.0000,-0.0833,2.0000,2.0000
13.0000,-0.0917,2.0000,2.0000
13.0000,-0.1000,2.0000,2.0000
13.0000,-0.1083,2.0000,2.0000
13.0000,-0.1167,2.0000,2.0000
13.0000,-0.1250,2.0000,2.0000
13.0000,-0.1333,2.0000,2.0000
13.0000,-0.1417,2.0000,2.0000
13.0000,-0.1500,2.0000,2.0000
13.0000,-0.1583,2.0000,2.0000
13.0000,-0.1667,2.0000,2.0000
13.0000,-0.1750,2.0000,2.0000
13.0000,-0.1833,2.0000,2.0000
13.0000,-0.1917,2.0000,2.0000
13.0000,-0.2000,2.0000,2.0000
13.0000,-0.2083,2.0000,2.0000
13.0000,-0.2167,2.0000,2.0000
13.0000,-0.2250,2.0000,2.0000
13.0000,-0.2333,2.0000,2.0000
